model,train_r2,val_r2,train_rmse,val_rmse
linear_regression,0.9861066197483777,0.4414631085906703,2059849.5156929085,10128972.199631868
ridge,0.9793345075467272,0.7252464317432591,2512201.1614324553,7104133.565225509
lasso,0.9860942027406349,0.47312373789878215,2060769.7904809257,9837704.278187292
elastic_net,0.9710572600145584,0.8141803582658367,2973044.119680053,5842318.866865955
random_forest,0.9673217453251738,0.9857565988487648,3159082.4376959954,1617507.4897968024
xgboost,0.9999375419998441,0.9813704787085427,138110.1413789838,1849866.1054462383
lightgbm,0.6801641755217254,0.4953656628691405,9883143.156468293,9627817.433822956
