id,city,district,drainage_company,wwtp_name,treatment_capacity_10k_m3_per_day,annual_treatment_volume_10k_m3,cod_influent_mg_l,cod_effluent_mg_l,bod5_influent_mg_l,bod5_effluent_mg_l,ss_influent_mg_l,ss_effluent_mg_l,nh3n_influent_mg_l,nh3n_effluent_mg_l,tn_influent_mg_l,tn_effluent_mg_l,tp_influent_mg_l,tp_effluent_mg_l,annual_electricity_consumption_kwh,treatment_process,advanced_processs,disinfection_processs
20,苏州市,姑苏区,苏州市排水有限公司,苏州市排水有限公司娄江污水处理厂,14.00 ,4755.26 ,330.00 ,14.00 ,174.00 ,1.89 ,151.00 ,5.00 ,29.40 ,0.38 ,40.40 ,7.63 ,4.48 ,0.11 ,19256800,A2O_Family,Combined,Combined
21,苏州市,姑苏区,苏州市排水有限公司,苏州市排水有限公司城东污水处理厂,4.00 ,1459.99 ,204.00 ,14.80 ,106.00 ,1.92 ,93.00 ,6.00 ,18.80 ,0.28 ,26.20 ,5.61 ,2.69 ,0.13 ,4485300,A2O_Family,Filtration,Combined
22,扬州市,广陵区,扬州市洁源排水有限公司,汤旺污水处理厂,26.00 ,9145.61 ,191.00 ,15.00 ,88.60 ,3.00 ,110.00 ,6.00 ,30.10 ,0.37 ,34.70 ,8.21 ,3.23 ,0.19 ,23878061,A2O_Family,Other,Chlorine_Based
23,扬州市,广陵区,扬州市洁源排水有限公司,六圩污水处理厂,20.00 ,6848.81 ,223.00 ,17.00 ,98.40 ,3.20 ,128.00 ,6.00 ,32.50 ,0.47 ,36.70 ,8.96 ,3.82 ,0.17 ,23622030,A2O_Family,Other,Chlorine_Based
24,扬州市,广陵区,扬州市洁源排水有限公司,北山污水处理厂,8.00 ,1467.11 ,203.00 ,15.00 ,94.20 ,2.60 ,114.00 ,7.00 ,26.40 ,0.39 ,32.60 ,7.60 ,3.49 ,0.17 ,4615814,A2O_Family,Other,Chlorine_Based
25,杭州市,上城区,杭州市排水有限公司,七格污水处理厂三期,60.00 ,16842.68 ,278.20 ,12.60 ,107.60 ,1.06 ,119.10 ,4.20 ,26.40 ,0.48 ,34.90 ,7.60 ,4.35 ,0.14 ,52285009,A2O_Family,Filtration,UV
26,杭州市,上城区,杭州市排水有限公司,七格污水处理厂四期,30.00 ,9437.51 ,262.80 ,13.20 ,104.30 ,0.67 ,105.20 ,37.00 ,25.30 ,0.18 ,33.80 ,6.80 ,4.02 ,0.10 ,35533603,A2O_Family,Filtration,UV
27,杭州市,上城区,杭州市排水有限公司,城西污水处理厂,10.00 ,3459.31 ,352.80 ,10.00 ,117.50 ,1.00 ,154.10 ,1.60 ,30.70 ,0.11 ,38.40 ,4.70 ,3.88 ,0.06 ,21020400,Biofilm,Other,UV
28,杭州市,富阳区,杭州富阳水务有限公司,杭州富阳水务有限公司富阳排水分公司,14.00 ,4804.25 ,231.50 ,19.80 ,107.60 ,2.10 ,47.00 ,6.00 ,17.70 ,0.82 ,21.87 ,8.95 ,1.57 ,0.11 ,18750320,A2O_Family,Other,Combined
29,杭州市,富阳区,杭州富阳水务有限公司,杭州富阳水务有限公司新登排水分公司,2.90 ,1097.73 ,307.30 ,27.30 ,114.70 ,1.70 ,142.00 ,6.00 ,13.40 ,0.44 ,17.84 ,5.17 ,3.10 ,0.09 ,3996380,AO_Family,,Combined
30,杭州市,富阳区,杭州富阳水务有限公司,杭州富阳水务有限公司场口排水分公司,1.00 ,151.70 ,244.00 ,28.00 ,101.60 ,4.30 ,69.00 ,8.00 ,13.50 ,0.34 ,20.64 ,6.54 ,1.53 ,0.13 ,980657,A2O_Family,Other,Other
31,杭州市,富阳区,杭州富阳水务有限公司,杭州富阳水务有限公司大源污水厂,6.00 ,771.64 ,279.42 ,17.76 ,115.64 ,2.21 ,141.00 ,6.00 ,7.78 ,0.39 ,11.84 ,3.97 ,0.63 ,0.03 ,3856960,A2O_Family,,Chlorine_Based
32,杭州市,临安区,杭州临安排水有限公司,净水一厂,6.00 ,1916.44 ,151.00 ,15.10 ,59.20 ,1.85 ,92.00 ,1.00 ,24.90 ,0.45 ,28.40 ,8.24 ,2.53 ,0.13 ,7669859,Oxidation_Ditch,Other,Chlorine_Based
33,杭州市,临安区,杭州临安排水有限公司,净水二厂,4.00 ,1168.56 ,188.00 ,16.10 ,83.90 ,0.96 ,94.00 ,2.00 ,22.50 ,0.20 ,25.70 ,5.68 ,2.36 ,0.11 ,4247901,A2O_Family,Other,Chlorine_Based
34,杭州市,临安区,杭州青山湖科技城排水有限公司,杭州青山湖科技城排水有限公司,4.00 ,888.64 ,194.00 ,11.00 ,70.50 ,0.80 ,146.00 ,3.00 ,13.93 ,0.53 ,18.92 ,8.48 ,1.17 ,0.12 ,3243345,SBR_Family,Other,Chlorine_Based
35,杭州市,临平区,杭州余杭水务控股集团有限公司,余杭污水处理厂（一二三期）,6.00 ,2077.64 ,262.58 ,10.39 ,126.88 ,2.00 ,201.77 ,4.55 ,36.35 ,0.11 ,42.60 ,5.30 ,4.17 ,0.09 ,13329591,Oxidation_Ditch,Membrane,Chlorine_Based
36,杭州市,临平区,杭州余杭水务控股集团有限公司,良渚污水厂,9.90 ,3113.56 ,241.69 ,14.74 ,112.25 ,2.00 ,144.49 ,5.35 ,33.22 ,0.40 ,39.07 ,9.32 ,4.47 ,0.17 ,14333800,Oxidation_Ditch,Membrane,Chlorine_Based
37,杭州市,临平区,杭州余杭水务控股集团有限公司,径山污水厂,3.00 ,435.28 ,113.75 ,9.95 ,45.80 ,2.00 ,94.89 ,4.12 ,8.28 ,0.04 ,13.23 ,3.33 ,1.85 ,0.09 ,2668190,MBR,Membrane,Chlorine_Based
38,杭州市,临平区,杭州余杭水务控股集团有限公司,临平净水厂,20.00 ,6666.35 ,282.53 ,12.11 ,168.35 ,2.00 ,60.49 ,0.23 ,37.28 ,0.14 ,49.47 ,6.45 ,3.95 ,0.08 ,32041951,MBR,Membrane,Chlorine_Based
39,杭州市,临平区,杭州余杭水务控股集团有限公司,塘栖污水厂,3.00 ,691.09 ,213.22 ,20.02 ,112.66 ,2.00 ,101.05 ,4.03 ,27.45 ,0.45 ,31.30 ,6.32 ,3.36 ,0.11 ,2668190,SBR_Family,Filtration,Chlorine_Based
40,杭州市,临平区,杭州余杭水务控股集团有限公司,崇贤污水厂,2.00 ,647.04 ,247.68 ,14.08 ,128.28 ,2.00 ,88.36 ,4.00 ,43.40 ,0.19 ,46.64 ,9.85 ,4.52 ,0.10 ,3531168,Oxidation_Ditch,Other,Chlorine_Based
41,杭州市,钱塘区,杭州天创水务有限公司,杭州七格污水处理厂一二期,60.00 ,19715.32 ,292.31 ,16.47 ,142.41 ,4.87 ,125.43 ,5.10 ,31.93 ,0.33 ,36.50 ,10.42 ,4.08 ,0.24 ,78633240,A2O_Family,Filtration,UV
42,杭州市,建德市,杭州建德污水处理有限公司,杭州建德污水处理有限公司,4.90 ,1661.54 ,198.66 ,11.53 ,67.50 ,2.02 ,140.92 ,2.83 ,8.65 ,0.17 ,17.71 ,8.66 ,2.13 ,0.11 ,8706572,Oxidation_Ditch,Other,UV
43,宁波市,鄞州区,宁波市城市排水有限公司,福明净化水厂,10.00 ,3437.56 ,213.80 ,15.30 ,82.38 ,2.01 ,185.01 ,5.00 ,22.46 ,0.08 ,27.55 ,9.94 ,3.55 ,0.18 ,12892544,A2O_Family,Other,Chlorine_Based
44,宁波市,郭州区,宁波市城市排水有限公司,岚山净化水厂,35.00 ,8181.33 ,213.83 ,15.33 ,76.47 ,2.02 ,185.01 ,5.35 ,20.93 ,0.17 ,26.89 ,10.65 ,2.91 ,0.19 ,37093148,A2O_Family,Combined,Chlorine_Based
45,宁波市,鄭州区,宁波市城市排水有限公司,栎社净化水厂,17.00 ,5575.92 ,218.47 ,18.25 ,78.14 ,2.02 ,218.56 ,5.00 ,18.61 ,0.14 ,22.53 ,0.54 ,3.69 ,0.16 ,15111349,A2O_Family,Combined,Chlorine_Based
46,宁波市,鄞州区,宁波市城市排水有限公司,长丰净化水厂,32.00 ,11644.23 ,191.37 ,15.34 ,69.48 ,2.00 ,165.25 ,5.00 ,19.32 ,0.08 ,23.59 ,9.14 ,3.32 ,0.17 ,31651136,A2O_Family,Combined,Other
47,宁波市,鄞州区,宁波市城市排水有限公司,新周净化水厂,16.00 ,6008.45 ,218.61 ,15.58 ,83.02 ,2.00 ,155.36 ,5.00 ,20.57 ,0.11 ,27.65 ,8.80 ,5.69 ,0.06 ,24788022,A2O_Family,Combined,Other
48,宁波市,奉化区,宁波市奉化区污水处理厂,宁波市奉化区污水处理厂,9.00 ,2593.74 ,220.00 ,19.10 ,93.00 ,2.80 ,174.00 ,3.20 ,16.50 ,0.39 ,20.90 ,10.20 ,3.40 ,0.15 ,6686630,Biofilm,Other,UV
49,宁波市,象山县,象山县污水处理有限公司,象山县中心城区污水厂,7.00 ,2544.83 ,169.72 ,17.92 ,69.42 ,1.54 ,58.69 ,2.22 ,20.68 ,0.18 ,22.12 ,8.63 ,2.38 ,0.20 ,6235168,A2O_Family,Other,Chlorine_Based
50,宁波市,象山县,象山县污水处理有限公司,西周污水厂,1.50 ,371.60 ,114.57 ,24.53 ,36.18 ,2.10 ,61.00 ,5.00 ,10.63 ,0.62 ,14.32 ,5.89 ,0.95 ,0.05 ,1556670,A2O_Family,Other,Chlorine_Based
51,宁波市,象山县,象山县污水处理有限公司,城东污水厂,2.00 ,219.96 ,199.30 ,40.30 ,54.70 ,1.50 ,151.00 ,7.00 ,14.87 ,0.83 ,18.10 ,6.86 ,1.40 ,0.25 ,2046684,AO_Family,Other,Other
