mae,rmse,r2,mape,max_error,median_error,segment,count,range
326634.216,410831.14763067773,-0.1628720594190134,54.00334780976943,681581.67,184141.8700000001,Q1,5,"[358110, 2087745)"
492839.28999999986,763346.7408442025,-0.7599309156356975,16.99348585490215,1487729.91,240872.6649999998,Q2,4,"[2087745, 4110970)"
2680057.7460000003,3650993.5255495044,0.17647283028085559,30.424135230809128,7126452.072000004,1645566.4499999993,Q3,5,"[4110970, 18065874)"
6704730.245199999,9460090.722221054,0.8090085908658128,14.767152798363542,19175890.96,3376834.101999998,Q4,5,"[18065874, 78633240)"
