model,train_r2,val_r2,train_rmse,val_rmse,overfit_ratio
random_forest,0.9673217453251738,0.9857565988487648,3159082.4376959954,1617507.4897968024,0.9812987774617786
xgboost,0.9999375419998441,0.9813704787085427,138110.1413789838,1849866.1054462383,1.0189195249848306
elastic_net,0.9710572600145584,0.8141803582658367,2973044.119680053,5842318.866865955,1.1926807741749772
ridge,0.9793345075467272,0.7252464317432591,2512201.1614324553,7104133.565225509,1.3503472263803107
lightgbm,0.6801641755217254,0.4953656628691405,9883143.156468293,9627817.433822956,1.3730547482484723
lasso,0.9860942027406349,0.47312373789878215,2060769.7904809257,9837704.278187292,2.0842205193931638
linear_regression,0.9861066197483777,0.4414631085906703,2059849.5156929085,10128972.199631868,2.2337237258543094
